Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.323951676,1.78245544433594,4.52586364746094,-8.8531494140625,-8.92529296875,-9.51747131347656,-14.4159088134766
0.328746314,1.67494201660156,4.33650207519531,-8.77250671386719,-8.04951477050781,-9.7830810546875,-14.8226928710938
0.333555158,1.54971313476562,4.12330627441406,-8.63812255859375,-7.09716796875,-9.86683654785156,-15.0691528320312
0.338356463,1.38661193847656,3.89544677734375,-8.46279907226562,-6.51092529296875,-9.7591552734375,-15.0332489013672
0.343170825,1.18197631835938,3.70303344726562,-8.2801513671875,-6.06825256347656,-9.71847534179688,-14.98779296875
0.347977919,0.957168579101562,3.5313720703125,-8.09689331054688,-5.46766662597656,-9.7591552734375,-15.2151031494141
0.35277491,0.736648559570312,3.34689331054688,-7.89408874511719,-4.89816284179688,-9.74000549316406,-15.0547943115234
0.35758402,0.525283813476562,3.18379211425781,-7.68028259277344,-4.61102294921875,-9.66583251953125,-14.8872985839844
0.362235458,0.334701538085938,3.01213073730469,-7.45425415039062,-4.41720581054688,-9.76632690429688,-14.7556915283203
0.367024503,0.170379638671875,2.79039001464844,-7.21357727050781,-4.57992553710938,-9.8548583984375,-14.6671600341797
0.371816207,0.037811279296875,2.53260803222656,-6.96739196777344,-4.52488708496094,-9.66343688964844,-14.7413330078125
0.37662333,-0.0635833740234375,2.27359008789062,-6.69677734375,-4.01760864257812,-9.49114990234375,-14.7174072265625
0.381407606,-0.15521240234375,2.04818725585938,-6.39073181152344,-3.80226135253906,-9.46244812011719,-14.4924774169922
0.386211197,-0.251113891601562,1.88752746582031,-6.08468627929688,-3.70175170898438,-9.15615844726562,-14.3058319091797
0.391021949,-0.353134155273438,1.77389526367188,-5.78657531738281,-3.37155151367188,-8.82595825195312,-14.1861877441406
0.395809774,-0.456985473632812,1.6663818359375,-5.48725891113281,-3.39787292480469,-8.8690185546875,-14.1598815917969
0.400602051,-0.560836791992188,1.53871154785156,-5.20747375488281,-3.4600830078125,-8.94798278808594,-14.1072387695312
0.405413293,-0.6646728515625,1.41043090820312,-4.9661865234375,-3.52468872070312,-8.92884826660156,-14.07373046875
0.410162279,-0.775253295898438,1.29010009765625,-4.76887512207031,-3.34762573242188,-9.03890991210938,-13.9469146728516
0.414958479,-0.904144287109375,1.15814208984375,-4.61187744140625,-3.31651306152344,-9.27101135253906,-13.61669921875
0.419697321,-1.07151794433594,1.03352355957031,-4.50802612304688,-3.57014465332031,-9.58447265625,-13.0089263916016
0.424542859,-1.28227233886719,0.961441040039062,-4.47747802734375,-3.89556884765625,-9.8428955078125,-12.6117248535156
0.429396666,-1.50096130371094,0.927230834960938,-4.51107788085938,-3.9410400390625,-10.0821838378906,-12.5064392089844
0.434227621,-1.70071411132812,0.891189575195312,-4.57154846191406,-4.04393005371094,-10.3764953613281,-12.2480163574219
0.43912342,-1.87786865234375,0.877151489257812,-4.64486694335938,-3.9769287109375,-10.4147796630859,-12.14990234375
0.443956095,-2.01531982421875,0.910736083984375,-4.70594787597656,-3.9649658203125,-10.3932495117188,-11.9441223144531
0.448816227,-2.10755920410156,1.00787353515625,-4.75482177734375,-4.28082275390625,-10.3669281005859,-11.7598724365234
0.453664952,-2.15031433105469,1.12393188476562,-4.79391479492188,-4.55599975585938,-10.1372222900391,-11.7598724365234
0.458541854,-2.14114379882812,1.21128845214844,-4.80001831054688,-4.76417541503906,-9.92425537109375,-11.6737365722656
0.463369012,-2.0977783203125,1.26931762695312,-4.75421142578125,-5.14462280273438,-9.8070068359375,-11.4535980224609
0.468191626,-2.03974914550781,1.30108642578125,-4.65402221679688,-5.57533264160156,-9.476806640625,-11.3794097900391
0.473031066,-1.97622680664062,1.28703308105469,-4.49031066894531,-5.88401794433594,-9.10830688476562,-11.5684509277344
0.477864627,-1.91268920898438,1.20213317871094,-4.2508544921875,-6.051513671875,-8.80441284179688,-11.8244781494141
0.482689669,-1.87113952636719,1.05307006835938,-3.94419860839844,-6.33146667480469,-8.42874145507812,-12.0541839599609
0.487510649,-1.86442565917969,0.884475708007812,-3.60638427734375,-6.80525207519531,-7.99085998535156,-11.8938751220703
0.492326051,-1.91268920898438,0.72808837890625,-3.26979064941406,-7.32926940917969,-7.75157165527344,-11.704833984375
0.497154466,-2.01591491699219,0.539337158203125,-2.94664001464844,-7.0732421875,-7.11747741699219,-11.5421295166016
0.501980646,-2.16253662109375,0.277877807617188,-2.60028076171875,-7.00863647460938,-6.80641174316406,-11.6019439697266
0.506788766,-2.33541870117188,-0.0159454345703125,-2.25758361816406,-7.11392211914062,-6.5120849609375,-11.4009552001953
0.511623933,-2.5284423828125,-0.254791259765625,-1.94908142089844,-7.17852783203125,-6.21299743652344,-11.0372467041016
0.516453806,-2.73675537109375,-0.43804931640625,-1.67848205566406,-7.03256225585938,-6.00242614746094,-10.7333526611328
0.52125767,-2.949951171875,-0.598098754882812,-1.43168640136719,-6.84114074707031,-5.75596618652344,-10.5849914550781
0.526109461,-3.14419555664062,-0.737991333007812,-1.20443725585938,-6.75260925292969,-5.37310791015625,-10.718994140625
0.530927831,-3.28958129882812,-0.847946166992188,-0.996139526367188,-6.73345947265625,-4.95436096191406,-10.9869842529297
0.535726475,-3.37266540527344,-0.935302734375,-0.80126953125,-6.72389221191406,-4.74140930175781,-11.1712341308594
0.540462249,-3.40443420410156,-1.00065612792969,-0.608230590820312,-6.7669677734375,-4.44230651855469,-11.3243865966797
0.54525178,-3.3995361328125,-1.06297302246094,-0.406036376953125,-6.75260925292969,-4.08097839355469,-11.4655609130859
